Zipcode,Dispensary Count,Patient Count,Latitude,Longitude,Nearest Disp Distance,Nearest Disp Zipcode,Pop,Patient Density,Patient Miles,Population Miles
17111,0,1940,40.27,-76.79,2.101777823,17109,,#DIV/0!,4077.448977,0
15647,0,22,40.34,-79.72,2.100904491,15642,,#DIV/0!,46.2198988,0
15665,0,79,40.34,-79.66,2.100904491,15642,,#DIV/0!,165.9714548,0
18962,0,30,40.34,-75.27,2.100554984,18960,,#DIV/0!,63.01664952,0
19601,0,1332,40.36,-75.94,2.100554984,19610,,#DIV/0!,2797.939239,0
15211,0,991,40.43,-80.02,2.098980968,15222,,#DIV/0!,2080.090139,0
15209,0,847,40.5,-79.97,2.098105646,15201,,#DIV/0!,1777.095482,0
15030,0,81,40.58,-79.78,2.096703846,15068,,#DIV/0!,169.8330115,0
15003,0,980,40.59,-80.22,2.096177765,15001,,#DIV/0!,2054.25421,0
15005,0,592,40.63,-80.22,2.095826921,15001,,#DIV/0!,1240.729537,0
18327,0,39,40.98,-75.15,2.091799179,18360,,#DIV/0!,81.58016798,0
18447,0,787,41.45,-75.59,2.081004402,18519,,#DIV/0!,1637.750464,0
18016,0,12,40.63,-75.39,2.070043181,18017,,#DIV/0!,24.84051817,0
15229,0,1050,40.52,-80.04,2.070003634,15237,,#DIV/0!,2173.503816,0
15215,0,869,40.5,-79.91,2.069985666,15206,,#DIV/0!,1798.817544,0
15136,0,1446,40.47,-80.1,2.069974888,15205,,#DIV/0!,2993.183688,0
19607,0,1590,40.29,-75.94,2.069921027,19611,,#DIV/0!,3291.174433,0
17093,0,8,40.31,-76.93,2.069917438,17025,,#DIV/0!,16.5593395,0
15472,0,8,39.92,-79.72,2.069777639,15401,,#DIV/0!,16.55822111,0
19036,0,633,39.89,-75.29,2.069777639,19018,,#DIV/0!,1310.169245,0
15416,0,20,39.86,-79.72,2.0697669,15401,,#DIV/0!,41.395338,0
16546,0,3,42.1,-80.05,2.056015787,16508,,#DIV/0!,6.168047361,0
15445,0,121,39.87,-79.7,1.741871272,15401,,#DIV/0!,210.7664239,0
19064,0,1254,39.93,-75.34,1.741501782,19070,,#DIV/0!,2183.843235,0
19121,0,1145,39.98,-75.18,1.741039676,19104,,#DIV/0!,1993.490429,0
19149,0,769,40.04,-75.07,1.740299741,19152,,#DIV/0!,1338.290501,0
19095,0,341,40.09,-75.14,1.740022088,19027,,#DIV/0!,593.347532,0
19436,0,22,40.2,-75.25,1.738817811,18936,,#DIV/0!,38.25399184,0
17103,0,775,40.27,-76.88,1.738354149,17104,,#DIV/0!,1347.224465,0
17105,0,15,40.27,-76.88,1.738354149,17104,,#DIV/0!,26.07531224,0
17106,0,13,40.27,-76.88,1.738354149,17104,,#DIV/0!,22.59860394,0
17108,0,3,40.27,-76.88,1.738354149,17104,,#DIV/0!,5.215062447,0
17120,0,8,40.27,-76.88,1.738354149,17104,,#DIV/0!,13.90683319,0
18934,0,19,40.34,-75.07,1.737518891,18902,,#DIV/0!,33.01285893,0
18911,0,11,40.38,-75.28,1.737333163,18960,,#DIV/0!,19.11066479,0
15220,0,1046,40.42,-80.05,1.736961581,15216,,#DIV/0!,1816.861814,0
19072,0,650,40.02,-75.26,1.734392938,19127,,#DIV/0!,1127.35541,0
17603,0,4184,40.03,-76.33,1.734180238,17602,,#DIV/0!,7255.810116,0
16037,0,314,40.8,-80.12,1.733423323,16063,,#DIV/0!,544.2949234,0
18301,0,1210,41,-75.17,1.731555216,18360,,#DIV/0!,2095.181811,0
19040,0,1494,40.17,-75.1,1.731198286,19044,,#DIV/0!,2586.410239,0
16621,0,49,40.2,-78.14,1.730558289,16634,,#DIV/0!,84.79735616,0
17101,0,265,40.26,-76.89,1.729490841,17104,,#DIV/0!,458.3150729,0
19609,0,676,40.33,-76,1.72778088,19610,,#DIV/0!,1167.979875,0
18509,0,997,41.43,-75.64,1.727337674,18508,,#DIV/0!,1722.155661,0
15218,0,1138,40.42,-79.89,1.725854171,15217,,#DIV/0!,1964.022047,0
15144,0,328,40.55,-79.78,1.723065553,15068,,#DIV/0!,565.1655014,0
16045,0,97,40.85,-79.92,1.716605174,16001,,#DIV/0!,166.5107019,0
18452,0,325,41.48,-75.59,1.703143873,18519,,#DIV/0!,553.5217587,0
19142,0,580,39.92,-75.23,1.593694572,19023,,#DIV/0!,924.3428518,0
19139,0,1220,39.96,-75.23,1.592766913,19104,,#DIV/0!,1943.175634,0
17043,0,579,40.24,-76.89,1.586251491,17011,,#DIV/0!,918.4396133,0
19033,0,466,39.89,-75.33,1.478634065,19070,,#DIV/0!,689.0434743,0
19076,0,367,39.89,-75.31,1.478634065,19070,,#DIV/0!,542.6587019,0
19026,0,1572,39.94,-75.3,1.478557463,19018,,#DIV/0!,2324.292332,0
19381,0,11,39.95,-75.6,1.478531924,19382,,#DIV/0!,16.26385116,0
19383,0,3,39.95,-75.6,1.478531924,19382,,#DIV/0!,4.435595772,0
19376,0,3,39.96,-75.82,1.478455297,19320,,#DIV/0!,4.435365891,0
19041,0,279,40,-75.32,1.478353098,19010,,#DIV/0!,412.4605143,0
19090,0,1306,40.14,-75.11,1.478046303,19001,,#DIV/0!,1930.328472,0
17070,0,1392,40.23,-76.87,1.477764818,17104,,#DIV/0!,2057.048627,0
15691,0,3,40.3,-79.68,1.477585565,15642,,#DIV/0!,4.432756695,0
15210,0,1642,40.41,-79.98,1.477303687,15203,,#DIV/0!,2425.732654,0
15208,0,486,40.45,-79.9,1.477201127,15206,,#DIV/0!,717.9197477,0
15007,0,25,40.65,-79.93,1.476739229,15044,,#DIV/0!,36.91848073,0
18709,0,270,41.28,-75.89,1.475117917,18704,,#DIV/0!,398.2818376,0
18410,0,16,41.47,-75.67,1.474627603,18508,,#DIV/0!,23.59404165,0
16501,0,92,42.12,-80.08,1.472945901,16508,,#DIV/0!,135.5110229,0
16512,0,14,42.12,-80.08,1.472945901,16508,,#DIV/0!,20.62124261,0
16514,0,14,42.12,-80.08,1.472945901,16508,,#DIV/0!,20.62124261,0
18102,0,1789,40.61,-75.48,1.380022794,18052,,#DIV/0!,2468.860778,0
19046,0,1202,40.09,-75.12,1.379893551,19027,,#DIV/0!,1658.632048,0
19128,0,2262,40.05,-75.23,1.379883995,19127,,#DIV/0!,3121.297597,0
19004,0,668,40.01,-75.22,1.379874441,19131,,#DIV/0!,921.7561266,0
19358,0,5,39.96,-75.81,1.379867277,19320,,#DIV/0!,6.899336385,0
19082,0,853,39.96,-75.27,1.379862501,19050,,#DIV/0!,1177.022713,0
19079,0,261,39.9,-75.26,1.379852953,19023,,#DIV/0!,360.1416207,0
19081,0,497,39.9,-75.34,1.267011451,19070,,#DIV/0!,629.7046911,0
19146,0,2099,39.94,-75.18,1.266495549,19107,,#DIV/0!,2658.374157,0
19130,0,1557,39.97,-75.18,1.266237469,19104,,#DIV/0!,1971.531739,0
19134,0,1426,39.99,-75.11,1.265979303,19125,,#DIV/0!,1805.286486,0
19066,0,234,40,-75.24,1.265850188,19131,,#DIV/0!,296.208944,0
19312,0,585,40.03,-75.44,1.265333515,19333,,#DIV/0!,740.2201063,0
19126,0,412,40.06,-75.14,1.264945784,19027,,#DIV/0!,521.157663,0
17102,0,795,40.27,-76.91,1.262226305,17025,,#DIV/0!,1003.469912,0
15661,0,33,40.32,-79.36,1.261707248,15650,,#DIV/0!,41.63633918,0
15140,0,214,40.41,-79.78,1.260408128,15146,,#DIV/0!,269.7273394,0
15127,0,3,40.56,-80.02,1.258585827,15237,,#DIV/0!,3.775757481,0
18105,0,19,40.6,-75.49,1.258064416,18103,,#DIV/0!,23.9032239,0
18032,0,655,40.65,-75.46,1.257412182,18109,,#DIV/0!,823.6049792,0
18510,0,622,41.41,-75.64,1.247434828,18505,,#DIV/0!,775.904463,0
19122,0,819,39.98,-75.15,1.061535197,19125,,#DIV/0!,869.3973263,0
19111,0,1336,40.06,-75.07,1.060296239,19152,,#DIV/0!,1416.555775,0
19408,0,11,40.15,-75.4,1.05889993,19403,,#DIV/0!,11.64789923,0
15226,0,1215,40.4,-80.01,1.055007535,15216,,#DIV/0!,1281.834155,0
19560,0,665,40.4,-75.92,1.055007535,19605,,#DIV/0!,701.5800108,0
18701,0,123,41.24,-75.89,1.041781715,18702,,#DIV/0!,128.1391509,0
19043,0,160,39.9,-75.31,0.870820185,19070,,#DIV/0!,139.3312296,0
19106,0,845,39.95,-75.14,0.870589172,19123,,#DIV/0!,735.6478503,0
19133,0,428,39.99,-75.14,0.8704505,19125,,#DIV/0!,372.552814,0
19151,0,896,39.98,-75.26,0.8704505,19096,,#DIV/0!,779.923648,0
19399,0,5,40.05,-75.41,0.870126741,19087,,#DIV/0!,4.350633705,0
19012,0,323,40.06,-75.11,0.870080468,19027,,#DIV/0!,281.0359912,0
19453,0,143,40.14,-75.5,0.869756408,19460,,#DIV/0!,124.3751663,0
15692,0,76,40.33,-79.68,0.868875501,15642,,#DIV/0!,66.03453808,0
18944,0,1847,40.37,-75.29,0.868689804,18960,,#DIV/0!,1604.470068,0
15213,0,804,40.44,-79.96,0.868364633,15203,,#DIV/0!,698.1651649,0
15219,0,620,40.44,-79.98,0.868318159,15222,,#DIV/0!,538.3572586,0
15224,0,866,40.46,-79.94,0.86827168,15232,,#DIV/0!,751.9232749,0
16802,0,27,40.8,-77.86,0.866688339,16801,,#DIV/0!,23.40058515,0
18503,0,192,41.41,-75.67,0.863833205,18505,,#DIV/0!,165.8559754,0
16502,0,1024,42.11,-80.1,0.86053522,16508,,#DIV/0!,881.1880653,0
18101,0,234,40.6,-75.47,0.690008401,18103,,#DIV/0!,161.4619658,0
15902,0,625,40.32,-78.91,0.689976068,15901,,#DIV/0!,431.2350425,0
15907,0,6,40.32,-78.91,0.689976068,15901,,#DIV/0!,4.139856408,0
19102,0,302,39.95,-75.17,0.530999636,19107,,#DIV/0!,160.3618901,0
19103,0,1111,39.95,-75.17,0.530999636,19107,,#DIV/0!,589.9405956,0
17866,0,634,40.78,-76.54,0.524526239,17872,,#DIV/0!,332.5496355,0
15001,1,1838,40.61,-80.25,0,15001,,#DIV/0!,0,0
15044,1,1527,40.63,-79.94,0,15044,,#DIV/0!,0,0
15068,2,2228,40.56,-79.75,0,15068,,#DIV/0!,0,0
15102,1,1601,40.32,-80.03,0,15102,,#DIV/0!,0,0
15146,2,1652,40.42,-79.76,0,15146,,#DIV/0!,0,0
15201,1,1212,40.48,-79.94,0,15201,,#DIV/0!,0,0
15203,1,912,40.43,-79.97,0,15203,,#DIV/0!,0,0
15205,1,1650,40.44,-80.1,0,15205,,#DIV/0!,0,0
15206,1,1955,40.47,-79.91,0,15206,,#DIV/0!,0,0
15212,1,2188,40.46,-79.99,0,15212,,#DIV/0!,0,0
15216,1,1873,40.4,-80.03,0,15216,,#DIV/0!,0,0
15217,1,1499,40.43,-79.92,0,15217,,#DIV/0!,0,0
15222,1,445,40.45,-79.99,0,15222,,#DIV/0!,0,0
15230,0,3,40.43,-79.97,0,15203,,#DIV/0!,0,0
15232,1,627,40.45,-79.93,0,15232,,#DIV/0!,0,0
15236,1,1737,40.35,-79.98,0,15236,,#DIV/0!,0,0
15237,1,2480,40.55,-80.04,0,15237,,#DIV/0!,0,0
15238,1,697,40.54,-79.88,0,15238,,#DIV/0!,0,0
15301,2,2937,40.17,-80.24,0,15301,,#DIV/0!,0,0
15401,1,1408,39.89,-79.72,0,15401,,#DIV/0!,0,0
15601,3,3516,40.31,-79.54,0,15601,,#DIV/0!,0,0
15642,1,2459,40.32,-79.69,0,15642,,#DIV/0!,0,0
15650,1,1646,40.31,-79.38,0,15650,,#DIV/0!,0,0
15701,1,1354,40.62,-79.15,0,15701,,#DIV/0!,0,0
15801,1,1400,41.14,-78.73,0,15801,,#DIV/0!,0,0
15825,1,653,41.16,-79.08,0,15825,,#DIV/0!,0,0
15901,2,233,40.33,-78.91,0,15901,,#DIV/0!,0,0
16001,1,2494,40.86,-79.89,0,16001,,#DIV/0!,0,0
16003,0,5,40.86,-79.89,0,16001,,#DIV/0!,0,0
16063,1,485,40.78,-80.14,0,16063,,#DIV/0!,0,0
16066,4,1660,40.71,-80.1,0,16066,,#DIV/0!,0,0
16101,2,1853,40.99,-80.34,0,16101,,#DIV/0!,0,0
16107,0,5,40.99,-80.34,0,16101,,#DIV/0!,0,0
16137,1,426,41.22,-80.23,0,16137,,#DIV/0!,0,0
16148,1,675,41.22,-80.44,0,16148,,#DIV/0!,0,0
16335,1,1603,41.64,-80.14,0,16335,,#DIV/0!,0,0
16505,1,1123,42.13,-80.14,0,16505,,#DIV/0!,0,0
16508,1,1172,42.1,-80.09,0,16508,,#DIV/0!,0,0
16509,3,1657,42.06,-80.04,0,16509,,#DIV/0!,0,0
16602,2,2382,40.5,-78.4,0,16602,,#DIV/0!,0,0
16603,0,5,40.5,-78.4,0,16602,,#DIV/0!,0,0
16634,1,35,40.21,-78.17,0,16634,,#DIV/0!,0,0
16701,1,600,41.96,-78.64,0,16701,,#DIV/0!,0,0
16801,2,1799,40.79,-77.85,0,16801,,#DIV/0!,0,0
16803,2,1127,40.8,-77.9,0,16803,,#DIV/0!,0,0
16804,0,8,40.79,-77.85,0,16801,,#DIV/0!,0,0
16805,0,2,40.79,-77.85,0,16801,,#DIV/0!,0,0
17001,0,2,40.24,-76.92,0,17011,,#DIV/0!,0,0
17003,1,684,40.33,-76.5,0,17003,,#DIV/0!,0,0
17011,1,2403,40.24,-76.92,0,17011,,#DIV/0!,0,0
17013,1,2178,40.2,-77.2,0,17013,,#DIV/0!,0,0
17025,1,1319,40.28,-76.93,0,17025,,#DIV/0!,0,0
17042,1,2482,40.34,-76.42,0,17042,,#DIV/0!,0,0
