Zipcode,Dispensary Count,Patient Count,Latitude,Longitude
15379,0,7,40.24,-80.43
15380,0,9,39.88,-80.46
15401,1,1408,39.89,-79.72
15410,0,41,39.91,-79.9
15411,0,23,39.74,-79.33
15412,0,6,40.09,-79.85
15413,0,15,39.99,-79.87
15416,0,20,39.86,-79.72
15417,0,344,40.01,-79.89
15419,0,114,40.06,-79.89
15420,0,11,39.96,-79.87
15421,0,26,39.85,-79.6
15422,0,13,39.98,-79.81
15423,0,79,40.09,-79.93
15424,0,74,39.8,-79.35
15425,0,688,40.01,-79.58
15427,0,76,40.07,-79.97
15428,0,67,40.08,-79.68
15429,0,9,40,-79.94
15430,0,7,40.04,-79.65
15431,0,142,39.97,-79.61
15432,0,11,40.11,-79.86
15433,0,21,39.98,-79.96
15434,0,12,40.08,-79.88
15435,0,28,39.94,-79.85
15436,0,109,39.82,-79.75
15437,0,96,39.78,-79.61
15438,0,107,40.1,-79.83
15439,0,2,39.74,-79.81
15442,0,108,40.01,-79.83
15443,0,8,39.92,-79.88
15444,0,21,40.01,-79.91
15445,0,121,39.87,-79.7
15446,0,23,40.03,-79.39
15447,0,3,39.94,-79.94
15448,0,4,40.14,-79.73
15449,0,28,39.96,-79.78
15450,0,19,40.01,-79.98
15451,0,31,39.74,-79.84
15454,0,4,39.86,-79.87
15455,0,4,40,-79.64
15456,0,128,39.92,-79.64
15458,0,47,39.88,-79.86
15459,0,61,39.73,-79.45
15460,0,3,39.81,-79.91
15461,0,144,39.84,-79.9
15462,0,26,40.06,-79.38
15464,0,46,39.96,-79.45
15465,0,7,39.94,-79.64
15466,0,28,40.08,-79.89
15468,0,87,39.95,-79.83
15469,0,82,40.01,-79.42
15470,0,45,39.87,-79.53
15472,0,8,39.92,-79.72
15473,0,95,40.08,-79.75
15474,0,84,39.73,-79.9
15475,0,46,39.96,-79.88
15476,0,8,39.87,-79.92
15477,0,25,40.08,-79.86
15478,0,278,39.8,-79.8
15479,0,44,40.15,-79.74
15480,0,68,39.99,-79.75
15482,0,32,40.06,-79.77
15483,0,21,40.08,-79.85
15484,0,6,39.89,-79.78
15486,0,90,40.03,-79.66
15488,0,7,39.98,-79.76
15489,0,11,39.97,-79.7
15490,0,7,40.07,-79.42
15492,0,6,40.12,-79.76
15501,0,609,40,-79.07
15502,0,21,40.03,-79.24
15510,0,3,39.96,-79.04
15520,0,8,40.11,-79.06
15521,0,78,40.19,-78.62
15522,0,567,40.01,-78.5
15530,0,101,39.92,-78.95
15531,0,174,40.16,-79.02
15533,0,82,39.99,-78.24
15534,0,42,39.9,-78.69
15535,0,75,39.91,-78.37
15536,0,18,39.93,-78.21
15537,0,401,40.01,-78.36
15538,0,20,39.89,-78.83
15539,0,26,40.13,-78.59
15540,0,10,39.8,-79.24
15541,0,110,40.04,-79
15542,0,51,39.86,-79.06
15544,0,14,40.13,-79.1
15545,0,39,39.82,-78.72
15546,0,32,40.14,-79.05
15547,0,15,40.16,-79.06
15550,0,103,40,-78.59
15551,0,11,39.87,-79.29
15552,0,137,39.81,-79.02
15553,0,7,39.98,-78.77
15554,0,100,40.1,-78.64
15555,0,12,40.1,-79.08
15557,0,104,39.91,-79.15
15558,0,31,39.75,-79.08
15559,0,53,40.04,-78.64
15560,0,18,40.02,-78.91
