Zipcode,Dispensary Count,Patient Count,Latitude,Longitude,Nearest Disp Distance,Nearest Disp Zipcode,Patient Miles
17267,0,71,39.77,-78.2,30.39890388,16634,2158.322175
16319,0,40,41.32,-79.62,30.21751224,15825,1208.70049
15557,0,104,39.91,-79.15,30.16803318,15650,3137.47545
16436,0,13,41.88,-79.51,29.9916415,16509,389.8913395
16938,0,11,41.58,-77.37,29.92446416,17701,329.1691058
16341,0,53,41.59,-79.57,29.72136225,16335,1575.232199
18457,0,8,41.47,-75.05,29.58639507,18519,236.6911605
16353,0,97,41.49,-79.44,29.48461184,15825,2860.007349
16346,0,111,41.37,-79.7,29.46230941,16137,3270.316345
18632,0,9,41.46,-76.38,29.43343761,18704,264.9009385
18439,0,5,41.85,-75.38,29.01792077,18519,145.0896039
18616,0,19,41.49,-76.6,28.66673355,17701,544.6679375
18626,0,11,41.41,-76.49,28.37004199,17815,312.0704619
15530,0,101,39.92,-78.95,28.36725974,15901,2865.093234
15316,0,4,39.76,-80.27,28.33205418,15301,113.3282167
16871,0,3,41.2,-78.02,28.30622096,16803,84.91866287
16402,0,22,41.99,-79.5,28.20569129,16509,620.5252085
18834,0,87,41.87,-75.72,28.08629874,18519,2443.507991
16746,0,42,41.77,-78.16,28.02068688,16701,1176.868849
18801,0,164,41.83,-75.87,28.01291454,18519,4594.117984
18623,0,86,41.64,-76.16,27.91043131,18504,2400.297093
17735,0,2,41.61,-76.86,27.67100935,17701,55.3420187
18465,0,50,41.86,-75.51,27.51072651,18519,1375.536326
17059,0,240,40.57,-77.39,27.42707864,17013,6582.498873
16301,0,793,41.42,-79.7,27.40715732,16335,21733.87576
17021,0,24,40.36,-77.67,27.17953915,17013,652.3089396
17723,0,2,41.44,-77.47,27.08845159,17701,54.17690318
16365,0,640,41.84,-79.14,27.07837143,16701,17330.15772
16347,0,50,41.69,-79.02,27.05607171,16701,1352.803585
15362,0,17,39.78,-80.22,26.92836953,15301,457.782282
16405,0,20,41.95,-79.54,26.834806,16509,536.69612
17768,0,12,41.56,-76.76,26.74865539,17701,320.9838647
18454,0,2,41.83,-75.43,26.72059143,18519,53.44118285
17076,0,5,40.62,-77.31,26.69394809,17870,133.4697404
15310,0,11,39.82,-80.45,26.59503266,15301,292.5453592
16344,0,17,41.47,-79.68,26.57537719,16335,451.7814123
16331,0,2,41.29,-79.56,26.56881524,15825,53.13763048
15550,0,103,40,-78.59,26.55294886,16634,2734.953733
15510,0,3,39.96,-79.04,26.44002785,15901,79.32008354
16313,0,87,41.78,-79.09,26.32861785,16701,2290.589753
15870,0,67,41.58,-78.68,26.30698767,16701,1762.568174
15540,0,10,39.8,-79.24,26.27120364,15401,262.7120364
16364,0,27,41.37,-79.5,26.23486237,15825,708.3412839
17731,0,3,41.4,-76.58,26.1879641,17701,78.56389231
18405,0,84,41.6,-75.15,25.97027034,18519,2181.502708
16820,0,36,40.92,-77.39,25.71630807,16801,925.7870906
16343,0,30,41.42,-79.74,25.70590516,16335,771.1771548
16352,0,10,41.75,-79.05,25.64357156,16701,256.4357156
16734,0,5,41.62,-78.84,25.63829107,16701,128.1914554
17751,0,320,41.1,-77.49,25.61088924,17701,8195.484557
16836,0,49,41.14,-78.24,25.56248408,15801,1252.56172
15553,0,7,39.98,-78.77,25.26027044,15901,176.8218931
18449,0,3,41.81,-75.44,25.24720822,18519,75.74162467
16213,0,5,41.13,-79.56,25.12433687,15825,125.6216843
18628,0,8,41.45,-76.29,25.0284088,18704,200.2272704
16850,0,2,41.07,-78.26,25.00319473,15801,50.00638947
17058,0,69,40.51,-77.55,24.93705942,16801,1720.6571
17082,0,84,40.53,-77.39,24.87969423,17013,2089.894316
16872,0,42,40.97,-77.36,24.87251504,17701,1044.645632
16434,0,43,41.82,-79.68,24.86947789,16509,1069.387549
18825,0,2,41.83,-75.61,24.85025828,18519,49.70051656
16864,0,3,41.15,-77.8,24.71164252,16803,74.13492755
17841,0,155,40.7,-77.31,24.60176944,17870,3813.274263
15559,0,53,40.04,-78.64,24.58643634,15901,1303.081126
16882,0,29,40.92,-77.3,24.49354328,17870,710.3127552
